"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F105","LumA","3","4","5","5","5"
"F106","LumA","3","4","5","5","5"
"F107","Basal","3","3","4","6","6"
"F108","LumA","2","2","2","2","2"
"F109","LumB","2","2","2","2","2"
"F110","LumA","2","2","2","2","2"
"F111","LumA","3","4","5","5","5"
"F112","LumB","2","2","3","3","3"
"F113","LumA","3","4","5","5","5"
"F114","LumA","3","4","5","5","5"
"F115","Her2","2","2","2","2","2"
"F116","LumB","2","2","2","2","2"
"F117","LumA","2","2","2","2","2"
"F118","LumA","2","2","2","2","2"
"F119","LumB","2","2","3","3","7"
"F120","LumA","3","4","5","5","5"
"F121","LumA","2","2","3","3","7"
"F122","LumA","2","2","2","2","2"
"F123","LumA","2","2","2","2","2"
"F124","LumA","2","2","2","2","2"
"F125","LumA","2","2","2","2","2"
"F126","LumA","3","4","5","5","5"
"F127","Her2","3","3","4","4","4"
"F128","LumA","3","4","5","5","5"
"F129","LumA","2","2","2","2","2"
"F130","LumA","2","2","2","2","2"
"F131","LumA","2","2","3","3","7"
"F132","LumA","3","4","5","5","5"
"F133","LumA","2","2","2","2","2"
"F134","Her2","3","3","4","6","6"
"F135","LumA","2","2","2","2","2"
"F136","LumA","3","4","5","5","5"
"F137","Her2","2","2","2","2","2"
"F138","LumB","2","2","3","3","3"
"F139","LumA","2","2","3","3","3"
"F140","LumA","2","2","3","3","7"
"F141","LumA","3","4","5","5","5"
"F142","Basal","1","1","1","1","1"
"F143","LumA","3","4","5","5","5"
"F144","Basal","1","1","1","1","1"
"F145","Her2","3","3","4","6","6"
"F146","LumA","2","2","2","2","2"
"F147","LumB","3","3","4","4","4"
"F148","LumA","3","4","5","5","5"
"F149","LumA","3","4","5","5","5"
"F150","Normal","3","4","5","5","5"
"F151","LumA","3","4","5","5","5"
"F152","LumA","2","2","2","2","2"
"F153","LumB","2","2","3","3","7"
"F154","Basal","1","1","1","1","1"
"F155","LumA","3","4","5","5","5"
"F156","LumB","3","3","4","4","4"
"F157","LumA","3","4","5","5","5"
"F158","Basal","1","1","1","1","1"
"F159","LumA","2","2","2","2","2"
"F160","LumB","2","2","2","2","2"
"F161","LumA","3","4","5","5","5"
"F162","LumA","2","2","3","3","7"
"F163","LumA","2","2","3","3","3"
"F164","LumA","3","4","5","5","5"
"F165","LumA","3","4","5","5","5"
"F166","Basal","1","1","1","1","1"
"F167","LumA","3","4","5","5","5"
"F168","LumA","3","4","5","5","5"
"F169","LumA","3","3","4","4","4"
"F170","LumA","2","2","3","3","3"
"F171","LumA","3","4","5","5","5"
"F172","LumA","2","2","3","3","7"
"F173","Basal","1","1","1","1","1"
"F174","LumB","2","2","3","3","7"
"F175","LumA","2","2","3","3","7"
"F176","LumA","2","2","3","3","7"
"F177","Her2","2","2","2","2","2"
"F178","LumA","2","2","2","2","2"
"F179","LumA","2","2","3","3","7"
"F180","LumA","3","3","4","4","4"
"F181","LumA","2","2","2","2","2"
"F182","LumB","3","3","4","4","4"
"F183","LumA","2","2","2","2","2"
"F184","LumA","3","3","4","4","4"
"F185","LumA","2","2","2","2","2"
"F186","LumA","2","2","2","2","2"
"F187","LumA","2","2","2","2","2"
"F188","LumA","3","4","5","5","5"
